movieCd,movieNm,openDt,audiAcc,movieNmEn,showTm,nations,genres1,genres2,director,actors1,actors2,actors3,audit,companyCd,companyNm,rating
20217845,더 수어사이드 스쿼드,2021-08-04,417322,The Suicide Squad,131,미국,액션,어드벤처,제임스 건,마고 로비,이드리스 엘바,존 시나,청소년관람불가,20100043.0,워너브러더스 코리아(주),7.93
20217826,육사오(6/45),2022-08-24,1958368,6/45,113,한국,코미디,,박규태,고경표,이이경,음문석,12세이상관람가,20100781.0,(주)티피에스컴퍼니,8.04
20217807,해피 뉴 이어,2021-12-29,230584,A YEAR-END MEDLEY,137,한국,멜로/로맨스,드라마,곽재용,한지민,이동욱,강하늘,12세이상관람가,2016841.0,(주)하이브미디어코프,6.57
20217742,샹치와 텐 링즈의 전설,2021-09-01,1736988,Shang-Chi and the Legend of the Ten Rings,132,미국,액션,어드벤처,데스틴 다니엘 크리튼,양조위,아콰피나,양자경,12세이상관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,7.41
20217736,컨저링3: 악마가 시켰다,2021-06-03,786498,The Conjuring: The Devil Made Me Do It,111,미국,공포(호러),미스터리,마이클 차베즈,베라 파미가,패트릭 윌슨,,15세이상관람가,20100043.0,워너브러더스 코리아(주),8.11
20217707,뱅드림! 로젤리아 에피소드Ⅰ: 약속,2021-06-03,12249,BanG Dream! Episode of Roselia I：Promise,77,일본,애니메이션,,카키모토 코다이,아이바 아이나,쿠도 하루카,나카시마 유키,전체관람가,20137515.0,(주)애니플러스,9.08
20217692,아야와 마녀,2021-06-10,28000,Earwig and the Witch,82,일본,애니메이션,,미야자키 고로,,,,전체관람가,20139617.0,(주)리틀빅픽쳐스,9.58
20217651,캐시트럭,2021-06-09,226334,Wrath of Man,118,미국,액션,,가이 리치,제이슨 스타뎀,스콧 이스트우드,조쉬 하트넷,청소년관람불가,2019641.0,(주)스튜디오 산타클로스엔터테인먼트,7.93
20217624,컴백홈,2022-10-05,37576,Come Back Home,119,한국,드라마,코미디,이연우,송새벽,라미란,이범수,15세이상관람가,20205261.0,(주)슬기로운늑대,5.72
20217573,굴뚝마을의 푸펠,2021-05-26,22607,Poupelle of Chimney Town,100,일본,애니메이션,판타지,,,,,전체관람가,20139617.0,(주)리틀빅픽쳐스,8.47
